t_sec,q1,q2,q3,q4,q5,q6,x,y,z,qx,qy,qz,qw
366.726,-0.0043863753985005,-0.00438637539731484,-0.00438637539802845,-0.00438637539802846,-0.00438637539794826,-0.00438637539802846,-0.0000989946244131997,0.0233329729331237,1.08499634434022,-0.00219318066541661,-4.8100645665442E-06,-0.00219316679028918,0.999995189965863
366.728,-0.0043863753985005,-0.00438637539731484,-0.00438637539802845,-0.00438637539802846,-0.00438637539794826,-0.00438637539802846,-0.0000989946244131997,0.0233329729331237,1.08499634434022,-0.00219318066541661,-4.8100645665442E-06,-0.00219316679028918,0.999995189965863
366.73,-0.0043863753985005,-0.00438637539731484,-0.00438637539802845,-0.00438637539802846,-0.00438637539794826,-0.00438637539802846,-0.0000989946244131997,0.0233329729331237,1.08499634434022,-0.00219318066541661,-4.8100645665442E-06,-0.00219316679028918,0.999995189965863
366.732,-0.0043863753985005,-0.00438637539731484,-0.00438637539802845,-0.00438637539802846,-0.00438637539794826,-0.00438637539802846,-0.0000989946244131997,0.0233329729331237,1.08499634434022,-0.00219318066541661,-4.8100645665442E-06,-0.00219316679028918,0.999995189965863
366.734,-0.00404227832774636,-0.0039477378572999,-0.00394773785879622,-0.00394773785832224,-0.00394773785840194,-0.00394773799664681,-0.0000989946244131997,0.0233329729331237,1.08499634434022,-0.00219318066541661,-4.8100645665442E-06,-0.00219316679028918,0.999995189965863
366.736,-0.00355032077105251,-0.00346523434681386,-0.00346523434846304,-0.00346523434804135,-0.00346523434801544,-0.0034652346106678,-8.91231109524176E-05,0.023425007884454,1.08498933032105,-0.00192659448560631,-3.61624005452385E-06,-0.00197385149554508,0.999996196058207
366.738,-0.00301982979949963,-0.0029432520170557,-0.00294325201874801,-0.00294325201840529,-0.00294325201841903,-0.00294325239290338,-7.84816730960079E-05,0.0236158656278095,1.0849907966861,-0.00169007113136205,-2.78082751492463E-06,-0.00173260301561272,0.999997070865024
366.74,-0.0024546598629966,-0.00238573985817804,-0.00238573985990256,-0.00238573985963579,-0.00238573985968473,-0.00238574033481647,-6.67581734040953E-05,0.0238209764555717,1.08499213988528,-0.00143333540677893,-1.99664176273918E-06,-0.00147161491914648,0.999997889945351
366.742,-0.00185828052046292,-0.00179625251551637,-0.00179625251726391,-0.00179625251706989,-0.00179625251715008,-0.00179625308286322,-5.39975324749251E-05,0.0240389127646406,1.08499334059839,-0.00115840904029264,-1.29961971779571E-06,-0.0011928616569298,0.999998617582981
366.744,-0.00123381492906245,-0.00117798972400904,-0.00117798972577186,-0.0011779897256473,-0.00117798972575522,-0.00117799037299048,-4.02390311941936E-05,0.0242683893523499,1.08499438085122,-0.000867111897770282,-7.23067469103707E-07,-0.000898120546876323,0.999999220747655
